visitorid,itemid,score
1,408,5.0544
1,50,4.9074
1,169,4.9054
1,1589,4.8893
1,114,4.8891
1,302,4.8511
1,1449,4.8457
1,647,4.818
1,919,4.7506
1,48,4.7056
2,64,4.7524
2,963,4.7394
2,1449,4.7358
2,408,4.6879
2,127,4.6839
2,318,4.6568
2,119,4.6048
2,511,4.5995
2,1142,4.5683
2,100,4.5627
3,320,4.4474
3,613,4.3726
3,344,4.3604
3,251,4.1129
3,1093,4.0933
3,205,4.0557
3,1218,4.0477
3,179,4.0242
3,168,3.9952
3,347,3.9863
4,1639,5.3551
4,1642,5.3496
4,1589,5.3379
4,1449,5.3359
4,1131,5.2716
4,1368,5.2555
4,1651,5.2349
4,1650,5.2349
4,1645,5.2349
4,1636,5.2349
5,50,4.4377
5,175,4.4011
5,390,4.25
5,169,4.2448
5,168,4.233
5,408,4.2274
5,172,4.2241
5,1056,4.1889
5,114,4.1808
5,434,4.1495
6,1142,4.4507
6,483,4.4282
6,1512,4.3941
6,474,4.3671
6,641,4.3653
6,525,4.3495
6,1449,4.3325
6,178,4.3294
6,479,4.2975
6,603,4.2967
7,429,4.9451
7,50,4.9359
7,408,4.9023
7,127,4.8889
7,432,4.8884
7,482,4.8613
7,1169,4.8309
7,483,4.8179
7,185,4.8126
7,318,4.799
8,64,4.8219
8,963,4.8198
8,50,4.814
8,1449,4.7856
8,408,4.7737
8,98,4.7721
8,302,4.7703
8,183,4.7434
8,119,4.7362
8,127,4.7303
9,512,5.1515
9,1169,5.1135
9,1398,4.9114
9,613,4.9113
9,1642,4.8857
9,603,4.8738
9,1466,4.8505
9,1064,4.8325
9,497,4.8264
9,478,4.8245
10,1449,4.8831
10,64,4.8374
10,1398,4.8362
10,318,4.83
10,483,4.8105
10,408,4.768
10,127,4.7528
10,119,4.7433
10,603,4.7431
10,1169,4.7273
11,318,4.4722
11,1449,4.3441
11,923,4.3104
11,169,4.3051
11,1167,4.291
11,189,4.2806
11,1642,4.2528
11,1398,4.2374
11,114,4.2048
11,745,4.1674
12,64,5.2567
12,318,5.1984
12,1450,4.9933
12,313,4.9373
12,22,4.908
12,1064,4.8656
12,272,4.8649
12,963,4.8609
12,936,4.8533
12,496,4.821
13,814,4.8858
13,851,4.8446
13,113,4.8239
13,522,4.6749
13,868,4.613
13,848,4.5799
13,199,4.5709
13,856,4.5339
13,1021,4.5226
13,100,4.5184
14,169,4.9851
14,50,4.9595
14,1524,4.8642
14,954,4.7235
14,408,4.6796
14,134,4.6781
14,430,4.6417
14,745,4.6246
